index	- is the mean of Variable	- is the mean ofVariable
pid	Participant id range is 1:30
activity	Name of the activity
1	mean.tBodyAcc.mean...X	- is the mean oftBodyAcc-mean()-X
2	mean.tBodyAcc.mean...Y	- is the mean oftBodyAcc-mean()-Y
3	mean.tBodyAcc.mean...Z	- is the mean oftBodyAcc-mean()-Z
4	mean.tBodyAcc.std...X	- is the mean oftBodyAcc-std()-X
5	mean.tBodyAcc.std...Y	- is the mean oftBodyAcc-std()-Y
6	mean.tBodyAcc.std...Z	- is the mean oftBodyAcc-std()-Z
41	mean.tGravityAcc.mean...X	- is the mean oftGravityAcc-mean()-X
42	mean.tGravityAcc.mean...Y	- is the mean oftGravityAcc-mean()-Y
43	mean.tGravityAcc.mean...Z	- is the mean oftGravityAcc-mean()-Z
44	mean.tGravityAcc.std...X	- is the mean oftGravityAcc-std()-X
45	mean.tGravityAcc.std...Y	- is the mean oftGravityAcc-std()-Y
46	mean.tGravityAcc.std...Z	- is the mean oftGravityAcc-std()-Z
81	mean.tBodyAccJerk.mean...X	- is the mean oftBodyAccJerk-mean()-X
82	mean.tBodyAccJerk.mean...Y	- is the mean oftBodyAccJerk-mean()-Y
83	mean.tBodyAccJerk.mean...Z	- is the mean oftBodyAccJerk-mean()-Z
84	mean.tBodyAccJerk.std...X	- is the mean oftBodyAccJerk-std()-X
85	mean.tBodyAccJerk.std...Y	- is the mean oftBodyAccJerk-std()-Y
86	mean.tBodyAccJerk.std...Z	- is the mean oftBodyAccJerk-std()-Z
121	mean.tBodyGyro.mean...X	- is the mean oftBodyGyro-mean()-X
122	mean.tBodyGyro.mean...Y	- is the mean oftBodyGyro-mean()-Y
123	mean.tBodyGyro.mean...Z	- is the mean oftBodyGyro-mean()-Z
124	mean.tBodyGyro.std...X	- is the mean oftBodyGyro-std()-X
125	mean.tBodyGyro.std...Y	- is the mean oftBodyGyro-std()-Y
126	mean.tBodyGyro.std...Z	- is the mean oftBodyGyro-std()-Z
161	mean.tBodyGyroJerk.mean...X	- is the mean oftBodyGyroJerk-mean()-X
162	mean.tBodyGyroJerk.mean...Y	- is the mean oftBodyGyroJerk-mean()-Y
163	mean.tBodyGyroJerk.mean...Z	- is the mean oftBodyGyroJerk-mean()-Z
164	mean.tBodyGyroJerk.std...X	- is the mean oftBodyGyroJerk-std()-X
165	mean.tBodyGyroJerk.std...Y	- is the mean oftBodyGyroJerk-std()-Y
166	mean.tBodyGyroJerk.std...Z	- is the mean oftBodyGyroJerk-std()-Z
201	mean.tBodyAccMag.mean..	- is the mean oftBodyAccMag-mean()
202	mean.tBodyAccMag.std..	- is the mean oftBodyAccMag-std()
214	mean.tGravityAccMag.mean..	- is the mean oftGravityAccMag-mean()
215	mean.tGravityAccMag.std..	- is the mean oftGravityAccMag-std()
227	mean.tBodyAccJerkMag.mean..	- is the mean oftBodyAccJerkMag-mean()
228	mean.tBodyAccJerkMag.std..	- is the mean oftBodyAccJerkMag-std()
240	mean.tBodyGyroMag.mean..	- is the mean oftBodyGyroMag-mean()
241	mean.tBodyGyroMag.std..	- is the mean oftBodyGyroMag-std()
253	mean.tBodyGyroJerkMag.mean..	- is the mean oftBodyGyroJerkMag-mean()
254	mean.tBodyGyroJerkMag.std..	- is the mean oftBodyGyroJerkMag-std()
266	mean.fBodyAcc.mean...X	- is the mean offBodyAcc-mean()-X
267	mean.fBodyAcc.mean...Y	- is the mean offBodyAcc-mean()-Y
268	mean.fBodyAcc.mean...Z	- is the mean offBodyAcc-mean()-Z
269	mean.fBodyAcc.std...X	- is the mean offBodyAcc-std()-X
270	mean.fBodyAcc.std...Y	- is the mean offBodyAcc-std()-Y
271	mean.fBodyAcc.std...Z	- is the mean offBodyAcc-std()-Z
345	mean.fBodyAccJerk.mean...X	- is the mean offBodyAccJerk-mean()-X
346	mean.fBodyAccJerk.mean...Y	- is the mean offBodyAccJerk-mean()-Y
347	mean.fBodyAccJerk.mean...Z	- is the mean offBodyAccJerk-mean()-Z
348	mean.fBodyAccJerk.std...X	- is the mean offBodyAccJerk-std()-X
349	mean.fBodyAccJerk.std...Y	- is the mean offBodyAccJerk-std()-Y
350	mean.fBodyAccJerk.std...Z	- is the mean offBodyAccJerk-std()-Z
424	mean.fBodyGyro.mean...X	- is the mean offBodyGyro-mean()-X
425	mean.fBodyGyro.mean...Y	- is the mean offBodyGyro-mean()-Y
426	mean.fBodyGyro.mean...Z	- is the mean offBodyGyro-mean()-Z
427	mean.fBodyGyro.std...X	- is the mean offBodyGyro-std()-X
428	mean.fBodyGyro.std...Y	- is the mean offBodyGyro-std()-Y
429	mean.fBodyGyro.std...Z	- is the mean offBodyGyro-std()-Z
503	mean.fBodyAccMag.mean..	- is the mean offBodyAccMag-mean()
504	mean.fBodyAccMag.std..	- is the mean offBodyAccMag-std()
516	mean.fBodyBodyAccJerkMag.mean..	- is the mean offBodyBodyAccJerkMag-mean()
517	mean.fBodyBodyAccJerkMag.std..	- is the mean offBodyBodyAccJerkMag-std()
529	mean.fBodyBodyGyroMag.mean..	- is the mean offBodyBodyGyroMag-mean()
530	mean.fBodyBodyGyroMag.std..	- is the mean offBodyBodyGyroMag-std()
542	mean.fBodyBodyGyroJerkMag.mean..	- is the mean offBodyBodyGyroJerkMag-mean()
543	mean.fBodyBodyGy+A12:C70roJerkMag.std..	- is the mean offBodyBodyGyroJerkMag-std()

